business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
4224,TZpGfN1prJBu7ldErjL50A,b_TZpGfN1prJBu7ldErjL50A,43.607424,-116.283725,"43.6074240000,-116.2837250000",Red Robin Gourmet Burgers and Brews,Boise,ID
4225,9wMV9GAMN8QgB7mUE7Bl_Q,b_9wMV9GAMN8QgB7mUE7Bl_Q,43.6134193,-116.2067229,"43.6134193000,-116.2067229000",Happy Fish Sushi,Boise,ID
4226,e1P-sfC54cO7WoAYRXvBxA,b_e1P-sfC54cO7WoAYRXvBxA,43.6166836893,-116.2022916859,"43.6166836893,-116.2022916859",Red Feather Lounge,Boise,ID
4227,0KE3MDT654yHN4LfxKcZYg,b_0KE3MDT654yHN4LfxKcZYg,43.6117019,-116.2032312,"43.6117019000,-116.2032312000",Boise Weekly,Boise,ID
4228,7AQ-UCLkyamF2Wg41wsw_g,b_7AQ-UCLkyamF2Wg41wsw_g,43.617149,-116.206104,"43.6171490000,-116.2061040000",Asiago's,Boise,ID
4229,B65v5G8kMbOz16YdLITHcA,b_B65v5G8kMbOz16YdLITHcA,43.6123306,-116.2427123,"43.6123306000,-116.2427123000",Chiang Mai House Thai Restaurant,Boise,ID
4230,rLT7Csuw8tfVrBUP3VVNLw,b_rLT7Csuw8tfVrBUP3VVNLw,43.5898963,-116.2913198845,"43.5898963000,-116.2913198845",Sonic Drive-In,Boise,ID
4231,L_EVdc2xdI6VSIH9LIXOig,b_L_EVdc2xdI6VSIH9LIXOig,43.6143067,-116.2016947,"43.6143067000,-116.2016947000",Reef,Boise,ID
4232,JK0dQu47K-eYqW9e2CrzXQ,b_JK0dQu47K-eYqW9e2CrzXQ,43.6140198,-116.2018065,"43.6140198000,-116.2018065000",Leku Ona,Boise,ID
4233,AW8LKjTWyD6eqn_OXM7LRg,b_AW8LKjTWyD6eqn_OXM7LRg,43.5939441,-116.1939336,"43.5939441000,-116.1939336000",Murphy's Seafood Bar & Grill,Boise,ID
4234,i1UAowqVH1cCkXudBRDwdA,b_i1UAowqVH1cCkXudBRDwdA,43.565822,-116.222317,"43.5658220000,-116.2223170000",Boise Airport,Boise,ID
4235,fhKSroLBUfASNMquHVVusg,b_fhKSroLBUfASNMquHVVusg,43.617923,-116.206753,"43.6179230000,-116.2067530000",Neurolux,Boise,ID
4236,Yeef_hlUbSIRWog3dVortg,b_Yeef_hlUbSIRWog3dVortg,43.6298459,-116.2031504,"43.6298459000,-116.2031504000",Parrilla Grill,Boise,ID
4237,GAli3uK_AvEDnpLnKIYGTA,b_GAli3uK_AvEDnpLnKIYGTA,43.6140001,-116.200823,"43.6140001000,-116.2008230000",Pengilly's Saloon,Boise,ID
4238,w_4xUt-1AyY2ZwKtnjW0Xg,b_w_4xUt-1AyY2ZwKtnjW0Xg,43.6165895082,-116.2023831706,"43.6165895082,-116.2023831706",Bittercreek Alehouse,Boise,ID
4239,ePqztYGzE6DtuKmpEt02PQ,b_ePqztYGzE6DtuKmpEt02PQ,43.6161960694,-116.2027338834,"43.6161960694,-116.2027338834",Balcony Club,Boise,ID
4240,QmKYNxwy4_dJvrZmSeAP4Q,b_QmKYNxwy4_dJvrZmSeAP4Q,43.5776822,-116.1933286,"43.5776822000,-116.1933286000",Jim's Alibi,Boise,ID
4241,d1QKAM7kSGLPQcDAxrFgDA,b_d1QKAM7kSGLPQcDAxrFgDA,43.58847,-116.2749635325,"43.5884700000,-116.2749635325",Cracker Barrel Old Country Store,Boise,ID
4242,Ps8KgiyJhPqhkjWBklPimg,b_Ps8KgiyJhPqhkjWBklPimg,43.6140596,-116.2029588,"43.6140596000,-116.2029588000",Bar Gernika,Boise,ID
4243,27E7RwQPv8XFzzIXjwPJ1Q,b_27E7RwQPv8XFzzIXjwPJ1Q,43.5982728,-116.183575,"43.5982728000,-116.1835750000",Red Robin Gourmet Burgers and Brews,Boise,ID
4244,2bXm0SynOfxDzfrdrCyXqg,b_2bXm0SynOfxDzfrdrCyXqg,43.616232,-116.202124,"43.6162320000,-116.2021240000",Old Chicago Pizza & Taproom,Boise,ID
4245,UFa2v-FmElnYeD4tnMz5aQ,b_UFa2v-FmElnYeD4tnMz5aQ,43.6086549,-116.1926999269,"43.6086549000,-116.1926999269",Carl's Jr,Boise,ID
4246,9Rq62YsocPdR1CHwUSXnvg,b_9Rq62YsocPdR1CHwUSXnvg,43.6153873,-116.2027168,"43.6153873000,-116.2027168000",Pita Pit,Boise,ID
4247,6fZWaWkvqrZNCxl_7PMDBg,b_6fZWaWkvqrZNCxl_7PMDBg,43.6407967488,-116.2085305605,"43.6407967488,-116.2085305605",Hawkins Pac-Out,Boise,ID
4248,UvkcB1iSZBdcJ-DE1z7YcQ,b_UvkcB1iSZBdcJ-DE1z7YcQ,43.5686216,-116.2218987,"43.5686216000,-116.2218987000",National Car Rental,Boise,ID
4249,b_3HJqXT-KerVsxcK__pSQ,b_b_3HJqXT-KerVsxcK__pSQ,43.6176092,-116.2078283,"43.6176092000,-116.2078283000",Owyhee Plaza Hotel,Boise,ID
4250,snTpO07JxjGhwJbE4RDFIA,b_snTpO07JxjGhwJbE4RDFIA,43.6146781,-116.2023897,"43.6146781000,-116.2023897000",Goldy's Breakfast Bistro,Boise,ID
4251,1KnmkIFa2gVwK4DavsqECA,b_1KnmkIFa2gVwK4DavsqECA,43.6167386,-116.2070272,"43.6167386000,-116.2070272000",Safari Inn Downtown,Boise,ID
4252,02_C-qiV1wJbT43mgx_F5Q,b_02_C-qiV1wJbT43mgx_F5Q,43.6163619,-116.2055328,"43.6163619000,-116.2055328000",Angell's Bar & Grill,Boise,ID
4253,YqoMDkuSbRPjzc39ty4PgA,b_YqoMDkuSbRPjzc39ty4PgA,43.6164418,-116.2021508,"43.6164418000,-116.2021508000",Mai Thai,Boise,ID
4254,GW8HQ6oJK1j5pqCATBE_Xw,b_GW8HQ6oJK1j5pqCATBE_Xw,43.6144295,-116.2018021,"43.6144295000,-116.2018021000",Main Street Bistro,Boise,ID
4255,9HUpW8t-GfzZbEmfX_kWYQ,b_9HUpW8t-GfzZbEmfX_kWYQ,43.61398,-116.203781,"43.6139800000,-116.2037810000",The Grove Hotel,Boise,ID
4256,7GSOAWAlmIvKdbAVFBL_Cw,b_7GSOAWAlmIvKdbAVFBL_Cw,43.6140706774,-116.2023421733,"43.6140706774,-116.2023421733",Bardenay Restaurant & Distillery - Boise,Boise,ID
4257,p0f4D374WNSAFq2izAHHvg,b_p0f4D374WNSAFq2izAHHvg,43.6140793,-116.2008879,"43.6140793000,-116.2008879000",Cactus Bar,Boise,ID
