business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
30899,XkQadWW9bUR855KvPZBNUw,b_XkQadWW9bUR855KvPZBNUw,29.948039,-90.064975,"29.9480390000,-90.0649750000",Gordon Biersch Brewery Restaurant,New Orleans,LA
30900,0uxg3_noVCE78Wgjb8DSyA,b_0uxg3_noVCE78Wgjb8DSyA,29.9576669,-90.0617022,"29.9576669000,-90.0617022000",Aunt Sally's Pralines,New Orleans,LA
30901,7n-8nhFq266slKmHJEY1-Q,b_7n-8nhFq266slKmHJEY1-Q,29.9539123,-90.0686731,"29.9539123000,-90.0686731000",Unique General Store,New Orleans,LA
30902,ZfiHVKQazjdPuwECrZ-dag,b_ZfiHVKQazjdPuwECrZ-dag,29.9570414,-90.0640372,"29.9570414000,-90.0640372000",The Alpine,New Orleans,LA
30903,8R-ObAoppiDpucPYjyncUw,b_8R-ObAoppiDpucPYjyncUw,29.9450562572,-90.0661786985,"29.9450562572,-90.0661786985",Embassy Suites by Hilton New Orleans,New Orleans,LA
30904,Gf6VxoCCxdbJkInNGH6l2A,b_Gf6VxoCCxdbJkInNGH6l2A,29.950913,-90.069146,"29.9509130000,-90.0691460000",La Quinta by Wyndham New Orleans Downtown,New Orleans,LA
30905,n_fUROdhfmLwd_mpBi55ew,b_n_fUROdhfmLwd_mpBi55ew,29.9588312294,-90.0610717688,"29.9588312294,-90.0610717688",Central Grocery & Deli,New Orleans,LA
30906,XScJI9exHgC0u_c3vmm1vQ,b_XScJI9exHgC0u_c3vmm1vQ,29.9481089763,-90.0655555353,"29.9481089763,-90.0655555353",Harrah's New Orleans,New Orleans,LA
30907,IZZ_uR2ps5KuuyE0n--jVA,b_IZZ_uR2ps5KuuyE0n--jVA,29.9615127,-90.0409119,"29.9615127000,-90.0409119000",Elizabeth's Restaurant,New Orleans,LA
30908,LuB-RHZQzmbAHXmykrN0BA,b_LuB-RHZQzmbAHXmykrN0BA,29.9647721503,-90.0513203165,"29.9647721503,-90.0513203165",Flora Gallery & Coffee Shop,New Orleans,LA
30909,ZTctPm8-lBy0iJ9dFhYhyQ,b_ZTctPm8-lBy0iJ9dFhYhyQ,29.9472977036,-90.0715089558,"29.9472977036,-90.0715089558",Herbsaint,New Orleans,LA
30910,YxzjYHBkWLwxpvOlcjKkhw,b_YxzjYHBkWLwxpvOlcjKkhw,29.9601503,-90.0599888,"29.9601503000,-90.0599888000",Molly's At the Market,New Orleans,LA
30911,lby9eFupu2hzjJ6PWwINDg,b_lby9eFupu2hzjJ6PWwINDg,29.9604283,-90.0597334,"29.9604283000,-90.0597334000",The Abbey,New Orleans,LA
30912,g1xRzUV-aLjAE4mkdhLwBQ,b_g1xRzUV-aLjAE4mkdhLwBQ,29.9618105,-90.0335351,"29.9618105000,-90.0335351000",Vaughan's Lounge,New Orleans,LA
30913,auZbZhgtKOppjDEikrIeNw,b_auZbZhgtKOppjDEikrIeNw,29.9544888,-90.0663571,"29.9544888000,-90.0663571000",Bacco Restaurant,New Orleans,LA
30914,kIMT0HWye1apfTH1-ITQAA,b_kIMT0HWye1apfTH1-ITQAA,29.9685111,-90.049592,"29.9685111000,-90.0495920000",Hanks Supermarket,New Orleans,LA
