user_id,raw_user_id,entity
0,3zBJUlWtPNoZ0uN83ODbyg,u_3zBJUlWtPNoZ0uN83ODbyg
1,9Z2UEd_f6eC17YxifpWfMw,u_9Z2UEd_f6eC17YxifpWfMw
2,iUeZhkI0OK0BisakOkb3pQ,u_iUeZhkI0OK0BisakOkb3pQ
3,whfjd0gIdtPXLTZKmNYqZQ,u_whfjd0gIdtPXLTZKmNYqZQ
4,eL9CR1oxghmW8MyP5duxbw,u_eL9CR1oxghmW8MyP5duxbw
5,n-lBS02-3yvlY5Q91mmwDA,u_n-lBS02-3yvlY5Q91mmwDA
6,_BHTC7nyCBoZcfiiD5cOXg,u__BHTC7nyCBoZcfiiD5cOXg
7,qG_bVdazAjjAO1l94gqHAg,u_qG_bVdazAjjAO1l94gqHAg
8,98pdN0Hn3Vx_qBlv2SMuyw,u_98pdN0Hn3Vx_qBlv2SMuyw
9,1w5bmM1qsFdQ6NbAU6ZDjQ,u_1w5bmM1qsFdQ6NbAU6ZDjQ
10,kQX4IZc95PkbkMcS9UbYOQ,u_kQX4IZc95PkbkMcS9UbYOQ
11,5mHprbXJYoz-7ACL-xL2eA,u_5mHprbXJYoz-7ACL-xL2eA
12,clFehAg0EJkBuTuOb5exKw,u_clFehAg0EJkBuTuOb5exKw
13,zejhY7mSVWETy51MUpLJ1g,u_zejhY7mSVWETy51MUpLJ1g
14,FZQXGfmkMASFWq3JnuQZqg,u_FZQXGfmkMASFWq3JnuQZqg
15,l_eOaEgbOxmy3K1Nbr3Apw,u_l_eOaEgbOxmy3K1Nbr3Apw
16,qQecSd0lynfB4g-LPa9JCw,u_qQecSd0lynfB4g-LPa9JCw
17,UHgXmu7hl-o078IW_Fp4dg,u_UHgXmu7hl-o078IW_Fp4dg
18,8lsWibR0YSa8YWGRdTt5CQ,u_8lsWibR0YSa8YWGRdTt5CQ
19,itmb9uAolzQnmEBDlV24qQ,u_itmb9uAolzQnmEBDlV24qQ
20,fyS8H0BNDv5du_X7ttUEqQ,u_fyS8H0BNDv5du_X7ttUEqQ
21,x_q4Cx-pzhNi1iwCDUizHw,u_x_q4Cx-pzhNi1iwCDUizHw
22,gZcxXnogU1O-gPTbqqtMYw,u_gZcxXnogU1O-gPTbqqtMYw
23,jyGe9zB1O120GAHozKfVMw,u_jyGe9zB1O120GAHozKfVMw
24,OF1Dwu3fWeyNzX2ehlyM3A,u_OF1Dwu3fWeyNzX2ehlyM3A
25,LyXvIE71cMeiBaPZI_Yq2w,u_LyXvIE71cMeiBaPZI_Yq2w
26,huHOgjAAeUr6zoV-dcbI9Q,u_huHOgjAAeUr6zoV-dcbI9Q
27,yeGIAyHixJrIe-zmXiePWQ,u_yeGIAyHixJrIe-zmXiePWQ
28,zGSnyzu6ntVm2h5yqiTOUw,u_zGSnyzu6ntVm2h5yqiTOUw
29,TQXtrSpsUyvHMriX8hvNWQ,u_TQXtrSpsUyvHMriX8hvNWQ
30,O1U20igtZ9ROL9WxHq3eng,u_O1U20igtZ9ROL9WxHq3eng
31,ZTtOA14uP9zP3C1D4GUxBw,u_ZTtOA14uP9zP3C1D4GUxBw
32,owYhJ-FvYG9nmMIFS_FvdA,u_owYhJ-FvYG9nmMIFS_FvdA
33,oCt5AH4jl7_kzLb-d3Nmhg,u_oCt5AH4jl7_kzLb-d3Nmhg
34,qKgy1I7PcGTh9hd5ujhPNg,u_qKgy1I7PcGTh9hd5ujhPNg
35,WPRuJp0BhNdlgYXKZewpDg,u_WPRuJp0BhNdlgYXKZewpDg
36,FVk12H4Cz4DkRzl8N5-PGQ,u_FVk12H4Cz4DkRzl8N5-PGQ
37,ei2of0_KlHGcMFZizI0PSA,u_ei2of0_KlHGcMFZizI0PSA
38,j9I54xr2ezw4TlPa6XxoxQ,u_j9I54xr2ezw4TlPa6XxoxQ
39,H1eNtj44QO-lObHp4PtGwQ,u_H1eNtj44QO-lObHp4PtGwQ
40,9MblTcCAVpuS6eM3ZT_JMg,u_9MblTcCAVpuS6eM3ZT_JMg
41,UJcXryv3GnXik-dauejBdQ,u_UJcXryv3GnXik-dauejBdQ
42,83Rj4-b-PXUUfgz5BiptWA,u_83Rj4-b-PXUUfgz5BiptWA
43,6Rb1cZiuhBPILcHxfbInig,u_6Rb1cZiuhBPILcHxfbInig
44,s3D3oghMaX10JpvpAQIHig,u_s3D3oghMaX10JpvpAQIHig
45,LADaFaJSyLsxFtIW4o34WQ,u_LADaFaJSyLsxFtIW4o34WQ
46,36LgEtwt6ROhrCtuPjfRmQ,u_36LgEtwt6ROhrCtuPjfRmQ
47,I3zKdp7ttJHJ_FdEFasQHg,u_I3zKdp7ttJHJ_FdEFasQHg
48,XDpH_eZVnKoKyVE1bxotSA,u_XDpH_eZVnKoKyVE1bxotSA
49,4XCjBS9E8qe8Vby-KsXqGA,u_4XCjBS9E8qe8Vby-KsXqGA
50,bRCezPnjpoe6Mke6K8LZsg,u_bRCezPnjpoe6Mke6K8LZsg
51,BAjWpsCar34DOfS1uko2fA,u_BAjWpsCar34DOfS1uko2fA
52,SgiBkhXeqIKl1PlFpZOycQ,u_SgiBkhXeqIKl1PlFpZOycQ
53,Hh7GQIAf3m9ONiL8bGz9sQ,u_Hh7GQIAf3m9ONiL8bGz9sQ
54,8vOiK1JhSj7AcE7fZcOsGw,u_8vOiK1JhSj7AcE7fZcOsGw
55,esaDbON8NXJC4PWt_CheUg,u_esaDbON8NXJC4PWt_CheUg
56,-13RX4Gy_F-zoLIenWAo-w,u_-13RX4Gy_F-zoLIenWAo-w
57,0h6y2GPXD_1ujCrj_Jj2ow,u_0h6y2GPXD_1ujCrj_Jj2ow
58,sv1U8FIWQ_FMswSLcpzE_g,u_sv1U8FIWQ_FMswSLcpzE_g
59,Eywzux1sdWdoPXNKin1WNg,u_Eywzux1sdWdoPXNKin1WNg
60,HMU8BY7gYspKAFwPNjEiAA,u_HMU8BY7gYspKAFwPNjEiAA
61,w57Yn8npGhdDHmHFGKk2jA,u_w57Yn8npGhdDHmHFGKk2jA
62,WFVBNj0fdsfrzL-qkd83fg,u_WFVBNj0fdsfrzL-qkd83fg
63,vaJd9d_DqgSAk8Kg1DnaCA,u_vaJd9d_DqgSAk8Kg1DnaCA
64,dTYO6-81GrNZbILGxNKI6A,u_dTYO6-81GrNZbILGxNKI6A
65,T6zcfyO8eR2Py9V_bK_K4w,u_T6zcfyO8eR2Py9V_bK_K4w
66,s2u8pZLgMZor2qGb8f-4xg,u_s2u8pZLgMZor2qGb8f-4xg
67,5hAlb1Vwpo5A1TvkNwKQ-Q,u_5hAlb1Vwpo5A1TvkNwKQ-Q
68,hrSOvXHuagt-4w-_Z6FHOg,u_hrSOvXHuagt-4w-_Z6FHOg
69,EO1Cz15wYnHQ0aGc9T6tzw,u_EO1Cz15wYnHQ0aGc9T6tzw
70,BvRgHbtpDbmP0pCOJ-fbjg,u_BvRgHbtpDbmP0pCOJ-fbjg
71,X4yDntO5EhsRVYZraEvc-g,u_X4yDntO5EhsRVYZraEvc-g
72,8NbMi68s2deHfgWRZlDpog,u_8NbMi68s2deHfgWRZlDpog
73,XepJ7gLa_5375jowO43oSg,u_XepJ7gLa_5375jowO43oSg
74,hZxmfGMDiWEm81kYBaMWsQ,u_hZxmfGMDiWEm81kYBaMWsQ
75,9UZlB3fHVe2JBvPw4kRb5g,u_9UZlB3fHVe2JBvPw4kRb5g
76,Tw9uWxbjWt0aryDLKuo7iA,u_Tw9uWxbjWt0aryDLKuo7iA
77,IwASQZvrnLAo3oL152SdYg,u_IwASQZvrnLAo3oL152SdYg
78,jlpapIPWURjBUg3V31AjKw,u_jlpapIPWURjBUg3V31AjKw
79,BhwaJuqrwt_Stlf4XndzzQ,u_BhwaJuqrwt_Stlf4XndzzQ
80,fwNX5J_pjjAMzIaUCUU6BQ,u_fwNX5J_pjjAMzIaUCUU6BQ
81,P2Ydpwsr3yxpXdzXaZLjVw,u_P2Ydpwsr3yxpXdzXaZLjVw
82,t7P-N5mYJlUDrZt0kdm9jQ,u_t7P-N5mYJlUDrZt0kdm9jQ
83,Wspir3QfuzpoTU-HijmvQQ,u_Wspir3QfuzpoTU-HijmvQQ
84,kBGBUwLNEDj4yBydq5dIsQ,u_kBGBUwLNEDj4yBydq5dIsQ
85,nSezFx_sYvSA4lLd3euW8g,u_nSezFx_sYvSA4lLd3euW8g
86,N8j2-22fGnRFDXGo16pNwQ,u_N8j2-22fGnRFDXGo16pNwQ
87,P3kaIKmz1osm3zrpp5NKSA,u_P3kaIKmz1osm3zrpp5NKSA
88,bUyVmcsb4BrhklkvU8kesg,u_bUyVmcsb4BrhklkvU8kesg
89,TEtzbpgA2BFBrC0y0sCbfw,u_TEtzbpgA2BFBrC0y0sCbfw
90,M3My5CtVoToHpDH0HcbhmA,u_M3My5CtVoToHpDH0HcbhmA
91,kuRZJ2Xa6JDPVVXdlt6DJA,u_kuRZJ2Xa6JDPVVXdlt6DJA
92,TbDfw4y-_22GVbLtCCl2Lw,u_TbDfw4y-_22GVbLtCCl2Lw
93,fjart5PLsctT0QlDG88DlQ,u_fjart5PLsctT0QlDG88DlQ
94,-bT32tHNq7ngqZNA4Tr8jA,u_-bT32tHNq7ngqZNA4Tr8jA
95,tnL-KNC7ev_Vr1w-l64XyQ,u_tnL-KNC7ev_Vr1w-l64XyQ
96,C7JIjzicbiv0v1SVWDRwAw,u_C7JIjzicbiv0v1SVWDRwAw
97,VPHDEyaX2MUMSRj1em3mxg,u_VPHDEyaX2MUMSRj1em3mxg
98,AcatgnhTihFToEaJV2qdGw,u_AcatgnhTihFToEaJV2qdGw
99,7OcZf6pHU2Fcr1kg8bVODQ,u_7OcZf6pHU2Fcr1kg8bVODQ
100,aMVnF4w77n0A6jOSeCvBPw,u_aMVnF4w77n0A6jOSeCvBPw
101,mJ_pfQbfYiNBhj0uxCH5vg,u_mJ_pfQbfYiNBhj0uxCH5vg
102,wVpwTZ0ynSgHWn_tgzx2vg,u_wVpwTZ0ynSgHWn_tgzx2vg
103,IpMJQlt2_jbWHNpWQC7gbQ,u_IpMJQlt2_jbWHNpWQC7gbQ
104,dxuTBJvxwHupWPwNGMTsrQ,u_dxuTBJvxwHupWPwNGMTsrQ
105,Hyaybxc6RnYphtU6za02ow,u_Hyaybxc6RnYphtU6za02ow
106,W34qJwMTQki74fmDODZWnA,u_W34qJwMTQki74fmDODZWnA
107,riWDgbauId8TK7YFVgMNJw,u_riWDgbauId8TK7YFVgMNJw
108,haykw4LOmw1l-ivYvtdIyA,u_haykw4LOmw1l-ivYvtdIyA
109,qQS7enTn8OZb_5IK96-gkw,u_qQS7enTn8OZb_5IK96-gkw
110,l475DoDeCJ5zk2taKWwD8Q,u_l475DoDeCJ5zk2taKWwD8Q
111,-dwzGfMkie647nJg-Ix6JA,u_-dwzGfMkie647nJg-Ix6JA
112,lwMk4pT-cO4HdHGL9qmdGA,u_lwMk4pT-cO4HdHGL9qmdGA
113,NWhiK3EqtI1jVXEAHmmI2A,u_NWhiK3EqtI1jVXEAHmmI2A
114,pILwv96yeZsmUjglRsSuDw,u_pILwv96yeZsmUjglRsSuDw
115,cNM8uCjlhvPl4hqCem3y4Q,u_cNM8uCjlhvPl4hqCem3y4Q
116,0_dPwHJL8bysF0RSBtsZqw,u_0_dPwHJL8bysF0RSBtsZqw
117,pgQurApfbrV-rPKZKYo-Tw,u_pgQurApfbrV-rPKZKYo-Tw
118,gNfQY48SX1vfyheMti0a4g,u_gNfQY48SX1vfyheMti0a4g
119,cK0LLpYY5x1V8HGckbdNBg,u_cK0LLpYY5x1V8HGckbdNBg
120,gISq6T88eSdZGVzv0OBJkQ,u_gISq6T88eSdZGVzv0OBJkQ
121,nPsmZczCPq_VJ6IK2zXatQ,u_nPsmZczCPq_VJ6IK2zXatQ
122,XIR1_GVjl2M2P9uit2kxpA,u_XIR1_GVjl2M2P9uit2kxpA
123,nzXqWfvm3zXtcJ6ZvrAX7Q,u_nzXqWfvm3zXtcJ6ZvrAX7Q
124,dbF1zaSsH00LV1-di86oNg,u_dbF1zaSsH00LV1-di86oNg
125,uO6VkmLx-ESl-_8lFMmZRA,u_uO6VkmLx-ESl-_8lFMmZRA
126,IXscL1ECuoxuzM5dQ92uTg,u_IXscL1ECuoxuzM5dQ92uTg
127,kS1MQHYwIfD0462PE61IBw,u_kS1MQHYwIfD0462PE61IBw
128,-6_qXof2uXZpu8ny3u6VJw,u_-6_qXof2uXZpu8ny3u6VJw
129,GmRcci8kgknB0cfq2cAOCw,u_GmRcci8kgknB0cfq2cAOCw
130,lqXfcPDSwSY8WvjUVFtQTg,u_lqXfcPDSwSY8WvjUVFtQTg
131,IBmSVXn9hB5eKDx_MOE4Mw,u_IBmSVXn9hB5eKDx_MOE4Mw
132,yon21mgAit4FGUZVWs_yfw,u_yon21mgAit4FGUZVWs_yfw
133,YkOiLuObaZG8OD99f4hmbA,u_YkOiLuObaZG8OD99f4hmbA
134,jRXr_ynus4PZEofYe_xgMg,u_jRXr_ynus4PZEofYe_xgMg
135,ysCBsXWPB-LAiewVS3jZfQ,u_ysCBsXWPB-LAiewVS3jZfQ
136,aG6Q_IKp5qLu0uV7LHaR_A,u_aG6Q_IKp5qLu0uV7LHaR_A
137,x7rtl5JXTQ8Z-Ds7EWZXAQ,u_x7rtl5JXTQ8Z-Ds7EWZXAQ
138,o84KZeqgy0YGLmz5I9P-pg,u_o84KZeqgy0YGLmz5I9P-pg
139,PCDgDfH_oWVY9GdIEKP6HA,u_PCDgDfH_oWVY9GdIEKP6HA
140,5URA-S08gut_tJ6Ae1rrdQ,u_5URA-S08gut_tJ6Ae1rrdQ
141,nVU1BEo1lUMQBDuL_EFf5A,u_nVU1BEo1lUMQBDuL_EFf5A
