business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
41895,Co3Ogqy6y2JgZdG0wBlrUQ,b_Co3Ogqy6y2JgZdG0wBlrUQ,39.9450458,-75.1769728,"39.9450458000,-75.1769728000",Ten Stone Bar & Restaurant,Philadelphia,PA
41896,R3FDYMQBrMpkUquwE-eniQ,b_R3FDYMQBrMpkUquwE-eniQ,39.9496927497,-75.1436231285,"39.9496927497,-75.1436231285",The Continental Restaurant and Martini Bar,Philadelphia,PA
41897,6_T2xzR74JqGCTPefAD8Tw,b_6_T2xzR74JqGCTPefAD8Tw,39.9496652299,-75.1532727008,"39.9496652299,-75.1532727008",Morimoto,Philadelphia,PA
41898,ZKPrXH_GNW_AtZ31tP3NmA,b_ZKPrXH_GNW_AtZ31tP3NmA,39.9535582,-75.1929054,"39.9535582000,-75.1929054000",White Dog Cafe,Philadelphia,PA
41899,KHxnvzKcekc-dC_52q1j6g,b_KHxnvzKcekc-dC_52q1j6g,39.9497186,-75.1698503,"39.9497186000,-75.1698503000",Denim Lounge,Philadelphia,PA
41900,fYSaoJMOj7-r4XWEuYjRxw,b_fYSaoJMOj7-r4XWEuYjRxw,39.9493756,-75.1438865,"39.9493756000,-75.1438865000",Bleu Martini,Philadelphia,PA
41901,aXr74YWu67vUtWsbmICbag,b_aXr74YWu67vUtWsbmICbag,39.9607926479,-75.1698416252,"39.9607926479,-75.1698416252",Rose Tattoo Cafe,Philadelphia,PA
41902,fFY5pda8iTCUQmEfhyMa5w,b_fFY5pda8iTCUQmEfhyMa5w,39.9493463,-75.1423488,"39.9493463000,-75.1423488000",Swanky Bubbles,Philadelphia,PA
41903,JHRlwxxKY0JJcU97rJ-Bug,b_JHRlwxxKY0JJcU97rJ-Bug,39.949589,-75.14391,"39.9495890000,-75.1439100000",Cuba Libre Restaurant & Rum Bar - Philadelphia,Philadelphia,PA
41904,_peFbE5jqTwlRJ-jgoMe7g,b__peFbE5jqTwlRJ-jgoMe7g,39.9535501,-75.1931196,"39.9535501000,-75.1931196000",Saturn Club,Philadelphia,PA
41905,lh3ApskP-4XVdsQ-82792g,b_lh3ApskP-4XVdsQ-82792g,39.9451009,-75.1630885,"39.9451009000,-75.1630885000",Last Drop,Philadelphia,PA
41906,qaPADjsU6c0Ufho0zdL6Yw,b_qaPADjsU6c0Ufho0zdL6Yw,39.9648195,-75.1402322,"39.9648195000,-75.1402322000",Azure,Philadelphia,PA
41907,kLq_rhEQhIkzKU0n6E9V6A,b_kLq_rhEQhIkzKU0n6E9V6A,39.9484374254,-75.1509475708,"39.9484374254,-75.1509475708",Basic 4 Vegetarian Café,Philadelphia,PA
41908,Pmb8DDl9ATf0Q8pIev13ZQ,b_Pmb8DDl9ATf0Q8pIev13ZQ,39.9524388,-75.1873387,"39.9524388000,-75.1873387000",Intermezzo Cafe,Philadelphia,PA
41909,f0LTTims8Om7FT4l75haxg,b_f0LTTims8Om7FT4l75haxg,39.9664636,-75.1454542,"39.9664636000,-75.1454542000",Ministry of Information,Philadelphia,PA
41910,z3RdarkVy7JIwIICn-eT9A,b_z3RdarkVy7JIwIICn-eT9A,39.9415863,-75.1476509,"39.9415863000,-75.1476509000",Mako's Retired Surfers Bar & Grill,Philadelphia,PA
41911,REiAM73RkOxFqCVlEFiRWA,b_REiAM73RkOxFqCVlEFiRWA,39.9416802,-75.1519159,"39.9416802000,-75.1519159000",Tattooed Mom,Philadelphia,PA
41912,NYj8uB9-u0SmRMNDNktb1g,b_NYj8uB9-u0SmRMNDNktb1g,39.9502531,-75.1668064,"39.9502531000,-75.1668064000",Oscar's Tavern,Philadelphia,PA
41913,hhper8vIQRHpEZRufltj1Q,b_hhper8vIQRHpEZRufltj1Q,39.9620459,-75.1413923,"39.9620459000,-75.1413923000",The 700,Philadelphia,PA
41914,y04yvFFUW3KdwBOJTn6BGA,b_y04yvFFUW3KdwBOJTn6BGA,39.9477475,-75.1661374,"39.9477475000,-75.1661374000",McGlinchey's Bar & Grill,Philadelphia,PA
41915,GMQew93RTcPVK09i5AVXiA,b_GMQew93RTcPVK09i5AVXiA,39.9414439,-75.1471094,"39.9414439000,-75.1471094000",Rita's Italian Ice,Philadelphia,PA
41916,T9C1od-JorSPXwXgzSqM9Q,b_T9C1od-JorSPXwXgzSqM9Q,39.95549425,-75.1559746,"39.9554942500,-75.1559746000",David's Mai Lai Wah,Philadelphia,PA
41917,nIAbuktMEzVjT4P9pG89rQ,b_nIAbuktMEzVjT4P9pG89rQ,39.9489186,-75.1471667,"39.9489186000,-75.1471667000",Buddakan,Philadelphia,PA
41918,q1VOESxR99qJvpubnNxyJQ,b_q1VOESxR99qJvpubnNxyJQ,39.9487531332,-75.1600949582,"39.9487531332,-75.1600949582",Caribou Cafe,Philadelphia,PA
41919,yYTmX6sgg_0FogemlNNA-Q,b_yYTmX6sgg_0FogemlNNA-Q,39.9531032,-75.1930959,"39.9531032000,-75.1930959000",Modern Eye,Philadelphia,PA
41920,OdIBX09glfXNVSyd0RnIeg,b_OdIBX09glfXNVSyd0RnIeg,39.947701,-75.1682869,"39.9477010000,-75.1682869000",Monk's Cafe,Philadelphia,PA
41921,KLhihQ0r0BYD9ySP-WMT9A,b_KLhihQ0r0BYD9ySP-WMT9A,39.92494,-75.169119,"39.9249400000,-75.1691190000",Rite Aid,Philadelphia,PA
41922,YPLfRswyryjjW3VJa-SdaA,b_YPLfRswyryjjW3VJa-SdaA,39.9416787531,-75.1487875936,"39.9416787531,-75.1487875936",Ishkabibble's,Philadelphia,PA
41923,HPqTJ_yF2ZJw87yHWnSzSg,b_HPqTJ_yF2ZJw87yHWnSzSg,39.9471427567,-75.1445095605,"39.9471427567,-75.1445095605",City Tavern Restaurant,Philadelphia,PA
41924,y1Z9tymuBGVDZnYZoLk-2Q,b_y1Z9tymuBGVDZnYZoLk-2Q,39.9500007,-75.146124,"39.9500007000,-75.1461240000",Fork,Philadelphia,PA
41925,RtmrqFKEtcJJdUkQEiSqDw,b_RtmrqFKEtcJJdUkQEiSqDw,39.9501502,-75.1683554,"39.9501502000,-75.1683554000",Brasserie Perrier,Philadelphia,PA
41926,mf0OyZ6DX2iKUFIV9TqFRQ,b_mf0OyZ6DX2iKUFIV9TqFRQ,39.9485658,-75.1598508,"39.9485658000,-75.1598508000",Moriarty's Restaurant and Irish Pub,Philadelphia,PA
41927,RMBFktG5V1fmCTJSisLvMg,b_RMBFktG5V1fmCTJSisLvMg,39.934754,-75.1580753,"39.9347540000,-75.1580753000",Joseph Giannone Plumbing Heating & Air Conditioning,Philadelphia,PA
41928,B5eJm8A4eiuPLW5C6l75dQ,b_B5eJm8A4eiuPLW5C6l75dQ,39.938041,-75.1582152,"39.9380410000,-75.1582152000",Di Bruno Bros.,Philadelphia,PA
