business_id,raw_business_id,entity,latitude,longitude,geo,name,city,state
18534,TIp9kHzG9bbjwI4bIHffUg,b_TIp9kHzG9bbjwI4bIHffUg,27.9446797287,-82.465137038,"27.9446797287,-82.4651370380",Mise En Place,Tampa,FL
18535,3YqUe2FTCQr0pPVK8oCv6Q,b_3YqUe2FTCQr0pPVK8oCv6Q,27.9600061,-82.4349038,"27.9600061000,-82.4349038000",Columbia Restaurant,Tampa,FL
18536,dsfRniRgfbDjC8os848B6A,b_dsfRniRgfbDjC8os848B6A,27.9318624,-82.4827004,"27.9318624000,-82.4827004000",Bern's Steak House,Tampa,FL
18537,AlH5V97JSAu7AL_xdibMIg,b_AlH5V97JSAu7AL_xdibMIg,27.9697761464,-82.5627375239,"27.9697761464,-82.5627375239",Bahama Breeze,Tampa,FL
18538,c_4c5rJECZSfNgFj7frwHQ,b_c_4c5rJECZSfNgFj7frwHQ,27.980774,-82.534718,"27.9807740000,-82.5347180000",Tampa International Airport,Tampa,FL
18539,wzQQRtEwnFNkycJy0mr3TQ,b_wzQQRtEwnFNkycJy0mr3TQ,27.9461636,-82.4595727,"27.9461636000,-82.4595727000",Ashley Street Grill,Tampa,FL
18540,RiC_-68qxtDJqiIs5mRR6g,b_RiC_-68qxtDJqiIs5mRR6g,27.946453,-82.526348,"27.9464530000,-82.5263480000",Maggiano's Little Italy,Tampa,FL
18541,zFcE7bQ2oDfwpPgl_PxOTA,b_zFcE7bQ2oDfwpPgl_PxOTA,27.962275,-82.549347,"27.9622750000,-82.5493470000",Oystercatchers,Tampa,FL
18542,_0QZGrg91aaiMhh7tQyYYg,b__0QZGrg91aaiMhh7tQyYYg,27.9387237,-82.4548811,"27.9387237000,-82.4548811000",Jacksons Bistro Bar & Sushi,Tampa,FL
18543,ndXTjLUGO7_Mjm8PVSbsLQ,b_ndXTjLUGO7_Mjm8PVSbsLQ,27.9675285,-82.5729151,"27.9675285000,-82.5729151000",Castaways Restaurant the,Tampa,FL
18544,6Z89Ixagyc0mrVnyZHiIVw,b_6Z89Ixagyc0mrVnyZHiIVw,28.0433568,-82.5970998,"28.0433568000,-82.5970998000",Catch Twenty Three,Tampa,FL
18545,usVEZtOs-cWYIKtepuLhkA,b_usVEZtOs-cWYIKtepuLhkA,28.1316875408,-82.3691757976,"28.1316875408,-82.3691757976",Sukho Thai,Tampa,FL
18546,SzSLKafTPOQzp3pfzPjEVg,b_SzSLKafTPOQzp3pfzPjEVg,28.0555039,-82.4273789,"28.0555039000,-82.4273789000",Ichiban Japanese Cuisine & Sushi Bar,Tampa,FL
