user_id,rel_id,business_id,ts
0,4,18534,0
0,4,18535,2576
0,4,18536,3262
1,3,18535,7694537
1,3,18537,7950697
0,4,18538,11770578
0,4,18539,12385103
2,2,18540,13429124
1,3,18536,14533337
1,4,18541,14533661
1,3,18542,15468448
1,2,18543,15469118
3,4,18544,15670346
4,1,18545,17187399
4,3,18546,17188406
4,1,18535,17189219
5,4,18547,19132915
5,4,18548,19133049
5,4,18549,19133121
5,4,18550,19133199
5,4,18551,19133271
5,2,18552,19364502
5,2,18553,19364541
5,2,18554,19364668
5,2,18555,19364700
5,4,18556,19364774
5,1,18557,19365055
5,2,18558,19365121
5,4,18559,19365272
5,4,18534,19365990
5,1,18540,19366115
5,2,18560,19366750
5,2,18561,19366994
5,3,18562,19367118
5,3,18563,19367271
5,0,18564,19367384
5,4,18565,19367538
5,3,18566,19367834
5,2,18567,19369012
5,4,18568,19386763
5,3,18569,19387017
5,3,18570,19387294
5,4,18571,19387501
5,2,18572,19387685
5,3,18573,19387827
5,1,18574,19387932
3,3,18553,19632420
5,4,18538,19905510
5,0,18575,20080857
5,4,18576,20083358
4,1,18557,20390847
5,2,18536,20597275
4,2,18536,20911421
4,2,18539,21417904
4,2,18577,23074058
4,4,18578,23112446
6,4,18554,24894340
6,4,18577,24897026
4,4,18538,25269038
4,0,18579,25269897
4,4,18580,25526122
4,3,18534,25606313
4,1,18581,25731272
4,2,18582,26084355
7,1,18583,28864637
7,3,18584,28864838
7,3,18585,28866413
7,0,18586,28866705
7,4,18572,28866905
7,4,18587,28867420
7,3,18588,28867578
7,4,18589,28868573
7,3,18590,28875996
7,3,18591,28876291
7,2,18537,28876654
7,3,18592,28876771
7,4,18593,28876850
7,4,18594,28877101
7,4,18595,28877251
7,4,18596,28877604
7,3,18597,28877678
7,3,18598,28878041
7,4,18542,28879464
7,3,18599,28879620
7,3,18552,28880467
7,3,18543,28880542
7,4,18575,28880724
3,4,18600,28881303
7,3,18601,28882556
7,3,18602,28883274
7,1,18603,28923152
7,4,18604,28925803
7,4,18605,28926794
7,0,18606,28928391
7,4,18607,28928469
7,2,18608,28930337
7,3,18609,28948204
7,4,18610,28948330
7,4,18611,28948682
7,3,18612,28948814
7,4,18613,29044091
7,0,18614,29044276
7,2,18615,29044669
7,3,18616,29046740
7,3,18617,29047240
7,4,18618,29494681
7,4,18619,29494894
7,4,18620,29538480
7,0,18621,29538628
7,4,18561,29539329
7,2,18622,29553108
1,4,18534,29567473
1,3,18623,29571094
8,4,18541,29724745
8,3,18624,29726240
8,2,18625,29726626
8,0,18543,29727354
8,3,18626,29727679
7,4,18627,29887320
1,2,18628,29973537
7,1,18629,30078030
9,1,18630,30410559
3,4,18623,30443465
7,4,18538,31105498
1,4,18538,31340563
1,3,18631,31541517
1,4,18632,31803494
1,4,18633,31804295
1,1,18622,31887072
1,3,18594,31887745
1,4,18607,31888258
1,4,18602,31888397
1,2,18634,32054978
7,3,18635,32210092
1,3,18635,32381553
1,4,18636,32382116
1,4,18637,32383418
2,3,18575,32430696
2,4,18638,32432034
2,3,18639,32432188
2,3,18547,32432360
2,4,18594,32470919
1,1,18575,32473109
1,3,18544,32476543
2,3,18537,32483859
2,3,18631,32494301
10,3,18550,33093965
10,4,18640,33094290
1,2,18550,33094302
10,4,18641,33094760
10,4,18642,33110538
10,1,18643,33110724
10,3,18644,33111986
9,2,18645,33184173
9,3,18541,33184885
9,0,18546,33185484
10,3,18646,33189795
10,2,18594,33203587
10,4,18537,33203775
10,3,18552,33203904
10,1,18624,33204113
10,3,18566,33204184
7,4,18647,33454044
1,4,18647,33700234
9,3,18564,33793730
4,3,18648,34821586
10,3,18649,35445277
11,4,18569,35764971
7,4,18640,36177115
12,4,18536,37844338
10,3,18650,38099142
12,3,18537,39056601
12,3,18631,39056974
12,3,18584,39057301
12,3,18612,39057498
7,4,18651,39760897
9,3,18652,39954986
13,3,18628,41656277
13,4,18653,41657958
13,3,18547,41991321
13,0,18654,42176128
10,4,18655,42930821
13,0,18656,43014951
7,3,18582,43994645
10,3,18657,44093098
1,3,18657,44239695
9,3,18658,44617551
13,4,18599,44658851
1,4,18659,44775717
1,4,18610,44791799
14,4,18536,45795107
10,3,18660,46506816
1,4,18661,46530453
9,2,18662,46565013
7,4,18663,48597991
15,4,18661,50660991
15,1,18664,50661278
15,3,18619,50662574
15,3,18583,50662870
15,3,18609,50663584
15,4,18585,50664095
15,1,18543,50664538
15,4,18622,50664828
15,4,18665,50665309
5,3,18666,51556724
5,3,18589,51557594
5,2,18585,51560744
5,2,18667,51560976
16,4,18668,51576283
7,3,18659,51592533
10,3,18669,51647896
5,3,18670,51651205
5,3,18660,51651319
5,4,18658,51657818
7,4,18666,51846235
16,2,18671,52650328
15,4,18672,52821677
9,3,18673,53080556
9,2,18674,53082116
7,1,18662,54033497
17,4,18538,54092913
9,4,18675,54643198
15,4,18538,54781213
18,2,18565,54859067
18,4,18676,54867392
1,0,18586,55026072
4,0,18586,55124981
9,3,18677,55149752
19,3,18635,55387491
19,4,18678,55387741
20,4,18644,55388348
20,4,18541,55389166
16,4,18679,55813661
9,2,18680,56094142
21,2,18681,56284098
21,3,18535,56284460
21,4,18536,56286261
22,4,18546,56425046
22,4,18682,56425482
17,4,18635,57054448
22,4,18572,57438592
10,3,18683,57659958
18,0,18575,57872791
23,3,18684,57873764
7,4,18535,57892316
24,4,18685,58142776
22,1,18586,58329000
22,4,18686,58329297
24,4,18687,58410965
24,4,18688,58412440
22,1,18688,58415570
24,4,18660,58474470
23,4,18580,58501459
18,2,18689,58598128
18,2,18690,58598977
18,1,18535,58599876
18,3,18691,58600640
25,4,18692,58652871
25,4,18534,58653392
25,3,18686,58654306
25,4,18548,58654821
25,4,18693,58655252
1,1,18694,58746050
1,2,18689,58753022
26,3,18580,59127621
26,4,18695,59128002
7,3,18696,59222201
7,3,18697,59222561
24,4,18698,59294089
24,4,18699,59294812
26,3,18700,59424856
26,0,18701,59425267
26,4,18702,59784312
27,3,18669,59940480
27,0,18662,60053256
27,2,18703,60053503
27,3,18704,60053763
27,4,18599,60054289
27,0,18705,60055497
23,3,18706,60563650
28,4,18707,60574749
17,1,18708,60693009
17,1,18709,60694548
17,1,18710,60695156
17,3,18711,60724572
17,3,18712,60725113
7,4,18713,60763951
7,1,18634,60764151
16,4,18714,62149109
14,3,18534,62585525
20,4,18536,62800935
7,4,18715,62802538
20,4,18580,62817979
16,3,18716,62919493
29,4,18564,63410979
29,3,18633,63418908
29,4,18653,63421121
29,3,18717,63424986
28,3,18631,63949304
30,3,18564,64200104
30,1,18633,64201567
31,3,18575,64284754
31,3,18718,64286023
31,3,18719,64289534
31,4,18720,64291075
32,2,18721,65398881
18,3,18722,65421643
33,3,18599,66266004
33,3,18550,66267207
26,3,18723,66677373
34,4,18635,67217173
27,1,18535,67386155
27,2,18563,67386307
9,3,18548,69499522
35,2,18724,69904728
35,1,18725,69910309
35,4,18726,69971155
35,3,18561,69980004
35,4,18727,69982376
35,4,18690,69983597
36,4,18631,70009459
36,3,18728,70009802
36,3,18612,70011138
36,4,18729,70011687
36,3,18551,70012102
36,1,18602,70012388
36,0,18730,70012651
36,4,18706,70013313
36,4,18731,70087113
36,3,18732,70087557
36,2,18688,70088210
35,4,18733,70236288
26,2,18719,70303716
26,1,18678,70304223
26,2,18537,70304476
26,1,18575,70305113
4,1,18701,70318580
37,4,18653,70345732
36,4,18677,70405729
35,2,18687,70836377
38,3,18666,70949927
38,3,18538,70955912
35,2,18734,71093887
38,3,18735,71098508
38,2,18683,71099869
38,2,18736,71120583
38,2,18737,71441609
38,2,18738,71789078
38,3,18550,71875954
39,2,18739,71904558
39,3,18684,71905268
39,4,18580,71906331
10,3,18740,72266017
40,4,18741,72302594
18,2,18742,72612913
35,4,18686,72915822
6,4,18743,72923032
41,2,18535,73301842
42,2,18744,73339427
42,3,18744,73343795
42,2,18745,73347956
42,4,18538,73814704
5,0,18535,74386554
2,4,18536,74506040
1,3,18669,74922630
1,2,18646,74922852
43,2,18746,74928041
43,2,18747,75123476
44,4,18748,75261830
44,2,18749,75263417
35,3,18723,75336642
45,3,18546,75367798
46,4,18612,75434883
18,3,18750,75697518
36,3,18751,75788967
36,4,18752,75789348
47,3,18753,75943482
43,1,18583,76944107
47,1,18754,77011808
47,3,18755,77013078
38,2,18756,77184688
47,0,18757,77600683
47,2,18758,77735121
47,0,18759,78002947
45,4,18660,78300845
45,2,18644,78300987
48,3,18569,78812892
48,2,18554,78813537
48,4,18760,78904119
35,2,18761,79059693
48,3,18762,79244923
48,1,18538,79515565
48,2,18763,79826892
48,2,18764,80023985
49,4,18765,80171234
49,3,18766,80171520
38,3,18612,80377180
50,4,18610,80393039
50,3,18538,80393441
50,3,18767,80393587
50,3,18768,80394135
50,2,18769,80394589
50,3,18770,80395559
50,1,18771,80396022
50,2,18772,80396293
35,4,18773,80514988
51,3,18774,80765838
52,1,18745,80966217
52,0,18643,80968148
35,4,18775,81478078
4,1,18575,81748052
53,4,18538,81885305
53,3,18776,81890907
54,2,18688,81921776
53,3,18585,81983671
55,4,18538,82230650
53,3,18777,82239232
53,2,18778,82258651
53,2,18589,82323091
56,3,18731,82350128
43,4,18779,82362209
56,2,18631,82408563
53,0,18754,82408923
56,3,18698,82442525
53,4,18780,82493502
56,3,18781,82514774
53,3,18695,82605438
53,4,18635,82613805
56,4,18635,82623375
56,2,18703,82624215
56,3,18712,82624396
57,4,18707,82710769
57,1,18599,82711670
57,4,18646,82712980
43,2,18782,82772340
47,3,18783,83789901
58,4,18567,83847540
58,2,18784,83850706
59,4,18706,83907757
59,4,18564,83917578
59,3,18785,83937270
47,3,18786,83963906
60,4,18777,84243195
60,4,18787,84243695
61,4,18687,85366895
62,0,18545,85566205
59,3,18788,85587541
59,2,18687,85590400
59,3,18691,85639036
62,3,18789,85642728
39,2,18747,85827679
63,3,18684,85863978
63,4,18790,85865308
63,4,18791,85875789
62,4,18648,85907057
10,4,18631,86214100
60,3,18792,86265828
9,2,18793,86399860
59,1,18716,86485678
9,1,18794,86495428
63,2,18553,86573602
63,3,18795,86573933
39,2,18695,86755701
52,2,18679,86855948
64,3,18796,87379100
63,4,18541,87502444
64,1,18673,87812123
64,2,18568,87813829
27,1,18554,88018385
64,1,18797,88056898
52,3,18798,88328961
52,3,18799,88330449
65,4,18580,88367788
66,4,18800,88714379
62,3,18704,88759134
67,4,18801,88848559
62,3,18802,88988599
59,3,18803,88995026
58,4,18804,89192708
38,3,18805,89238274
68,3,18750,89240835
68,3,18806,89242519
68,2,18633,89250590
68,3,18691,89257489
26,3,18807,89261202
39,2,18753,89285369
39,3,18631,89285995
59,0,18698,89288491
35,3,18808,89337106
68,2,18731,89340843
59,3,18750,89343625
68,3,18565,89435215
3,4,18809,89442236
39,3,18536,89458314
59,0,18537,89477848
59,2,18717,89478360
59,2,18810,89479287
69,2,18811,89708248
69,2,18624,89710163
69,2,18732,89711731
60,3,18812,89769980
60,3,18813,89770321
70,0,18568,89846155
70,4,18569,89846299
70,3,18814,89846418
70,3,18536,89958805
60,4,18564,89964074
60,2,18575,89964409
70,2,18575,90015169
70,3,18553,90023713
70,3,18554,90023790
70,4,18550,90023950
26,3,18815,90104204
59,1,18703,90124549
60,3,18545,90138887
70,2,18583,90189901
70,1,18816,90190135
70,1,18543,90190985
70,3,18584,90276385
70,0,18817,90290874
70,1,18663,90290988
70,2,18585,90291060
70,0,18589,90291086
70,1,18818,90291138
70,3,18604,90291164
70,3,18695,90291228
70,4,18538,90291383
70,1,18586,90291538
70,0,18819,90291837
70,3,18587,90291910
70,3,18635,90332648
70,2,18820,90332712
67,1,18821,90337977
64,1,18822,90400644
64,2,18785,90400961
64,3,18823,90401935
68,3,18806,90448447
71,0,18824,90486799
71,4,18704,90487221
71,4,18825,90488972
72,3,18583,90543127
72,3,18732,90543509
62,3,18704,90544051
9,2,18688,90544196
64,4,18706,90806713
70,1,18826,91073125
73,2,18746,91090419
73,3,18690,91090799
73,3,18827,91090943
58,2,18537,91462815
58,3,18720,91463888
10,4,18828,91787226
74,0,18631,91922060
55,4,18829,92168614
55,0,18536,92211420
55,3,18830,92213645
55,3,18831,92214876
75,3,18720,92268635
75,2,18832,92269772
75,2,18833,92270920
62,4,18834,92302100
62,4,18564,92303142
76,2,18677,92533095
77,4,18705,92538479
76,1,18764,92625148
76,4,18612,92625297
76,2,18662,92625446
76,4,18835,92625677
76,4,18698,92625849
76,4,18836,92625969
78,1,18585,92669158
18,1,18680,93039575
79,1,18716,93162086
79,3,18731,93163896
64,3,18731,93394930
27,1,18732,93459646
69,4,18631,93535806
69,2,18837,93536161
69,2,18838,93536822
69,3,18839,93538439
64,4,18840,93596926
80,4,18632,93599052
78,1,18841,93783034
64,3,18842,93841847
64,3,18843,93911753
59,3,18844,94221472
64,3,18599,94378086
81,2,18845,94421073
82,0,18706,94499531
27,1,18552,94605627
78,1,18846,94641492
27,3,18847,94791706
81,2,18712,94845938
81,3,18848,94944256
81,4,18538,95039503
18,3,18669,95040047
81,2,18585,95040356
18,4,18658,95052693
78,4,18849,95113817
26,2,18850,95369027
9,3,18851,95413531
26,4,18664,95498842
55,1,18852,95752225
55,4,18701,95753731
9,4,18720,95808471
38,3,18649,95810933
83,4,18853,95912022
84,0,18701,96013921
84,3,18546,96017935
84,3,18565,96019822
67,3,18820,96320444
79,3,18706,96506632
64,2,18854,96571019
60,3,18855,96942007
27,1,18856,97096736
84,4,18804,97126929
84,3,18857,97128598
26,3,18858,97137666
80,3,18859,97232771
85,3,18536,97283317
85,3,18721,97283661
67,1,18550,97333080
67,3,18860,97333098
67,2,18861,97475595
67,4,18536,97475646
67,4,18862,97557824
86,4,18661,97704238
87,4,18538,97789516
7,2,18546,97821880
7,4,18720,97823256
7,3,18826,97825236
88,4,18863,97838864
87,4,18864,97879213
67,3,18783,98065535
64,2,18865,98177867
89,1,18742,98260375
89,3,18866,98260717
89,3,18649,98261187
1,4,18867,98360393
67,4,18868,98447333
59,3,18869,98463555
79,3,18870,98626015
90,4,18708,98927585
33,3,18669,99049405
85,2,18717,99192747
91,4,18536,99212576
64,3,18871,99462076
64,3,18872,99462683
92,3,18858,99648463
76,4,18873,99648476
93,3,18874,99683465
93,2,18785,99683663
1,3,18875,99951796
93,4,18876,99965762
93,3,18877,99966125
93,3,18706,99969228
93,4,18878,99970276
70,0,18879,100147366
94,3,18735,100162741
41,3,18649,100218500
89,3,18880,100232096
89,3,18635,100232312
26,3,18595,100418871
95,2,18881,100421351
95,3,18882,100427344
95,3,18783,100429000
95,2,18570,100506507
41,4,18635,100565834
95,2,18714,100570620
67,4,18883,100577117
95,2,18884,100585289
95,2,18864,100585860
95,3,18820,100586635
46,4,18885,101025668
96,2,18791,101308046
96,3,18583,101309038
96,3,18840,101309782
96,4,18886,101310234
96,3,18887,101343118
96,4,18888,101343352
96,3,18593,101343699
97,3,18536,101506102
46,2,18671,101510670
46,3,18889,101511125
46,3,18890,101514531
84,4,18891,101804603
98,4,18707,101936098
7,4,18704,102133540
1,3,18738,102155953
46,4,18566,102222426
46,3,18805,102222567
46,3,18892,102224100
7,2,18893,102239267
7,2,18894,102239717
7,3,18895,102240843
46,2,18896,102400009
46,2,18897,102401995
46,3,18726,102403180
35,4,18898,102543558
46,4,18657,102727559
46,3,18618,102728218
46,3,18550,102728549
99,4,18536,102814464
100,4,18552,102846514
100,3,18899,102846971
101,3,18900,103019238
101,4,18720,103100470
101,1,18901,103109125
101,3,18892,103261863
64,2,18902,103274258
102,4,18903,103318074
64,2,18904,103602567
76,4,18727,103611523
46,2,18905,103766600
103,4,18633,103939738
103,1,18845,103940355
103,3,18691,103967816
104,4,18706,103970559
104,3,18535,103971505
103,4,18640,103979463
103,1,18698,103979620
103,1,18877,103980555
103,4,18649,103980900
103,1,18689,103982511
103,3,18758,103982611
103,2,18683,103984280
103,3,18690,103984557
103,3,18720,103985121
67,3,18906,103991277
104,3,18673,104026105
104,1,18599,104026723
104,4,18791,104027324
103,3,18653,104033388
103,4,18672,104036662
104,4,18762,104039614
104,2,18764,104039704
104,3,18631,104039864
104,2,18907,104042915
104,2,18778,104043134
104,4,18876,104043580
103,0,18584,104073173
104,3,18698,104156061
104,3,18788,104157776
104,2,18908,104157975
80,3,18589,104304320
80,4,18909,104399960
80,3,18637,104400267
105,4,18536,104409875
80,2,18610,104486773
80,2,18910,104487122
106,3,18911,104627793
106,2,18912,104628131
106,2,18913,104628330
106,4,18717,104629092
106,2,18914,104629446
103,3,18610,104653536
107,3,18544,104747389
107,3,18669,104826594
7,3,18915,104903310
108,4,18916,104982901
87,0,18917,105072276
109,4,18717,105086516
109,4,18918,105087112
100,2,18919,105309678
100,3,18555,105310338
101,3,18785,105407306
98,3,18881,105561602
110,2,18772,105913887
80,3,18920,106290015
76,3,18795,106346290
76,4,18809,106346418
76,2,18921,106346538
76,4,18691,106346991
7,3,18594,106440434
7,3,18839,106441628
7,3,18838,106448770
7,3,18920,106450804
7,2,18820,106543520
104,2,18865,106568346
104,4,18731,106568607
104,1,18714,106569251
104,3,18668,106569597
104,2,18922,106569913
104,3,18923,106571570
104,3,18709,106572165
104,3,18924,106572396
1,4,18693,106649615
3,3,18925,106659191
30,2,18689,106707211
2,2,18592,106731432
2,2,18926,106731662
2,3,18634,106732269
1,3,18706,106744792
7,3,18845,106744969
7,4,18721,106745257
7,2,18599,106745501
1,3,18839,106745999
98,4,18779,106768391
98,4,18693,106772488
111,2,18550,106775625
111,4,18891,106775748
111,4,18646,106775821
111,4,18927,106785127
111,0,18928,106786788
111,2,18704,106787514
111,1,18599,106796229
111,2,18847,106797084
111,4,18910,106798192
76,4,18574,106799538
76,2,18929,106799810
76,2,18762,106800082
76,2,18555,106800176
76,3,18671,106800373
30,3,18930,106803055
112,3,18738,106815034
112,3,18669,106815523
104,2,18931,106872074
104,3,18932,106872523
104,4,18933,106873037
104,2,18702,106873500
104,0,18623,106874164
104,3,18740,106874751
104,4,18862,106874964
104,4,18688,106875270
104,3,18583,106878494
112,4,18934,106952008
104,4,18538,106981388
104,4,18693,106993221
104,3,18660,106993486
7,4,18935,107000743
7,4,18910,107002417
7,2,18834,107003274
113,4,18936,107038406
113,3,18937,107038741
34,4,18536,107042107
34,2,18677,107042505
34,2,18938,107042746
111,1,18939,107158929
104,2,18823,107171567
104,3,18940,107171780
104,1,18537,107172483
43,4,18788,107229265
104,4,18941,107239571
46,4,18741,107241974
46,2,18942,107243847
46,3,18927,107245809
46,2,18943,107247220
46,4,18944,107248747
46,3,18945,107249579
46,2,18946,107250299
18,3,18680,107315373
111,0,18624,107328243
111,3,18657,107330174
111,4,18947,107331575
18,3,18566,107334358
18,4,18693,107335241
18,4,18676,107335851
18,3,18652,107336340
114,3,18948,107342465
114,3,18654,107343770
115,2,18949,107390226
46,3,18610,107394900
114,4,18950,107398162
116,0,18951,107516110
112,3,18952,107557131
104,4,18559,107576851
46,4,18953,107634652
112,2,18954,107666576
103,4,18955,107681297
103,4,18693,107681517
117,2,18862,107750861
117,3,18633,107751244
112,3,18956,107751260
117,4,18957,107751513
112,2,18622,107751929
111,1,18669,107766887
46,4,18910,107849801
18,3,18883,107878161
18,2,18836,107879346
18,2,18958,107880256
26,3,18707,107905901
54,3,18625,107916222
111,1,18820,107941905
111,3,18672,107942364
64,2,18925,108023734
64,3,18959,108024820
64,3,18571,108025379
58,2,18891,108088802
58,3,18723,108090745
58,3,18893,108094118
58,3,18794,108095324
112,3,18566,108096495
7,1,18960,108098757
7,3,18961,108099285
112,3,18646,108099586
118,4,18791,108109458
111,3,18557,108114840
111,3,18671,108115392
112,3,18629,108258152
112,3,18953,108335103
112,3,18553,108382155
119,4,18962,108521271
104,3,18963,108645866
93,2,18902,108697513
93,3,18964,108697766
93,3,18965,108697957
93,4,18859,108698487
93,4,18966,108698670
120,4,18664,108710519
121,3,18869,108757931
121,3,18845,108758580
121,4,18596,108758838
121,3,18877,108759291
121,3,18935,108778080
121,3,18864,108778310
112,4,18873,108780380
112,4,18657,108788765
118,4,18552,108799199
118,3,18750,108799727
111,2,18967,108870840
111,4,18652,108871331
111,3,18968,108872440
118,4,18721,108959779
118,4,18682,109027270
121,3,18536,109221728
121,3,18853,109224158
104,3,18842,109249285
104,3,18651,109249432
104,3,18604,109249513
104,2,18854,109252583
104,4,18969,109253168
104,2,18653,109253436
104,3,18853,109253561
104,0,18874,109253727
122,4,18762,109291391
122,2,18839,109291668
122,1,18970,109292337
122,2,18971,109294891
122,4,18935,109295305
123,1,18835,109410333
123,2,18972,109410729
124,3,18662,109420656
124,3,18973,109420836
124,3,18974,109421651
125,2,18878,109423091
123,3,18538,109448068
123,1,18888,109448864
104,3,18869,109455223
